n9217	2.93962
n9218	4.26621
n5430	5.22642
n1113	10.2661
n14413	0.592293
n13490	0.6947989999999999
n12817	1.38736
n8605	1.8867909999999999
n1937	5.852071
n10917	1.6116
n10918	2.94922
n4576	3.53221
n3203	11.8305
n8264	1.56363
n3204	6.20656
n1938	15.3574
n1327	20.247971
n1114	23.875321
n383	25.7939
n287	36.0328
n7235	3.23618
n9518	2.53597
n8325	4.88032
n9140	4.86008
n8326	5.29888
n7236	6.14359
n4887	7.43762
n4888	9.36986
n3892	11.24741
n3594	13.3242
n2535	14.1768
n2052	17.39864
n288	19.6922
n201	38.92879
n9840	1.66714
n1255	4.55701
n10015	2.44385
n10016	0.391249
n7393	4.36664
n1256	7.24959
n202	24.56861
n71	41.99938
n991	5.10042
n2121	0.0580496
n5060	2.4435
n2122	10.9501
n992	19.321049600000002
n689	27.166619999999998
n4442	8.4795
n2445	12.0442
n12074	1.36497
n7249	2.4738
n11109	1.64525
n7250	3.33977
n4827	7.431150000000001
n9979	3.85185
n8865	4.402113
n8866	2.1754
n6291	5.577223
n6778	4.48913
n6421	8.06286
n6422	5.00963
n6292	8.604191
n5472	8.801722999999999
n5413	10.1823
n10725	2.59579
n12622	1.31742
n10726	2.05275
n5414	3.68171
n4828	10.284533999999999
n4640	11.36683
n3859	11.7026
n12389	0.985799
n9531	2.225789
n3860	4.868359
n2446	13.4123
n690	17.818080000000002
n271	30.63856
n272	17.3293
n253	39.40575
n2059	1.78958
n12743	0.810808
n11107	1.961668
n11108	0.739584
n6779	3.342018
n3201	8.062038
n6973	6.51505
n6974	0.885164
n3247	7.78862
n7352	0.478372
n3248	7.30458
n3202	15.228110000000001
n2267	15.358808
n2268	7.62965
n2060	18.675438
n2005	19.63988
n2006	4.58061
n653	19.869010000000003
n1187	5.17532
n1188	7.42269
n827	25.16022
n6179	6.25172
n6180	6.28872
n6021	8.96443
n828	9.229526
n719	28.80934
n14441	0.564751
n8902	0.673395
n2165	5.5381
n3021	3.95268
n10539	3.19232
n8847	3.8696580000000003
n3022	5.602588000000001
n2166	15.761379999999999
n1351	19.1229
n8683	0.586262
n8684	2.11462
n4671	5.772322
n4672	3.66064
n3051	11.671292000000001
n10763	2.15712
n5473	3.65739
n3052	10.17857
n1975	15.693762000000001
n11384	0.724233
n6573	3.07699
n2257	8.33154
n11180	2.15136
n4715	3.27277
n5947	2.09532
n4716	9.36667
n3279	11.592049999999999
n3280	0.0510508
n2645	15.119159999999999
n4284	5.95742
n4152	12.3777
n3947	12.7327
n2646	13.220331
n2258	17.00148
n1976	18.760640000000002
n1352	20.035532000000003
n720	23.75297
n695	30.35468
n3831	6.13547
n709	13.47574
n5287	7.12988
n5288	5.44433
n3145	10.52364
n5802	5.63231
n4675	9.62531
n5110	5.39262
n5018	10.8441
n4676	11.0333
n3529	11.664670000000001
n5400	1.44314
n3530	10.3105
n3146	14.392610000000001
n710	15.457450000000001
n696	30.413739999999997
n654	30.589731999999998
n254	31.219910000000002
n73	40.54025
n6303	0.0533269
n6304	0.769863
n1923	8.7874869
n11797	0.137929
n1924	2.723879
n779	20.2963869
n879	4.74925
n10375	3.72389
n3621	4.033614
n5267	4.32873
n11819	1.65925
n11820	1.88104
n6827	2.70173
n14211	0.723179
n9757	0.83778
n6828	4.62301
n5268	7.989610000000001
n4649	10.53809
n4710	6.00449
n4650	11.6062
n3622	11.69327
n1445	14.113114
n11861	2.24887
n6606	2.6618720000000002
n1971	8.28788
